feature,mean_shap,std_shap
notfall_roll7,3.197328,1.7502092
day_of_week,1.4932605,0.92049164
notfall_lag7,0.62544876,0.39046264
notfall_lag1,0.57168955,0.2994927
daily_traffic_volume,0.46227026,0.21130879
lag7_x_winter,0.27502334,0.19950892
days_to_next_holiday,0.23499508,0.109216265
month,0.23324643,0.1250478
week_of_year,0.19667551,0.12876551
traffic_x_winter,0.17270201,0.14252917
heavy_vehicle_pct,0.1713615,0.13871738
temperature_min,0.1638211,0.1327544
elderly_x_winter,0.14511578,0.099481784
traffic_x_elderly,0.122369446,0.09775345
traffic_per_hour,0.11481027,0.06638919
mean_severity,0.103069834,0.08940405
avg_speed_kmh,0.10224821,0.09071103
pct_elderly,0.098403946,0.08445741
temperature_avg,0.08402021,0.08571592
days_since_last_holiday,0.07661575,0.07009084
temperature_max,0.07419115,0.073442794
mean_nems,0.057057712,0.061155573
is_winter,0.04885162,0.031512644
ips_cases,0.036116708,0.13757505
is_weekend,0.025338328,0.018255854
high_traffic_day,0.01940641,0.04249656
is_school_holiday,0.012944198,0.018843167
cold_x_weekend,0.007876569,0.013473978
holiday_type,0.0072051715,0.010266259
low_traffic_day,0.005970093,0.01286412
is_summer,0.0035079415,0.007954441
is_cantonal_holiday,0.0031420684,0.0117728
holiday_x_weekday,0.0016595284,0.005585264
holiday_x_winter,0.0012464813,0.0006928014
is_federal_holiday,0.00046818893,0.0033194763
low_speed_flag,0.0,0.0
is_bridge_day,0.0,0.0
